,INDONESIA,,,JAWA,,,Inggris,
63,Bagaimana rasanya Kue Ape?,Kue Ape adalah camilan yang gurih dan renyah dengan rasa yang unik. Saya suka tekstur dan cita rasanya.,,Piye rasane kue Ape?,Ape Cake minangka jajanan sing gurih lan renyah kanthi rasa sing unik. Aku seneng tekstur lan rasa.,,How does Ape Cake taste?,Ape Cake is a savory and crunchy snack with a unique taste. I love the texture and taste.
64,Suka Bolu Tape atau lebih suka Wingko Babat?,"Saya lebih suka Bolu Tape. Bolu Tape memiliki rasa manis yang khas karena fermentasi tape, dan teksturnya lembut.",,Kowe seneng Bolu Tape opo luwih seneng Wingko Babat?,"Aku luwih seneng Bolu Tape. Tape Bolu nduweni rasa manis sing khas amarga tape fermentasi, lan tekstur sing lembut.",,Do you like Bolu Tape or do you prefer Wingko Tripe?,"I prefer Bolu Tape. Bolu Tape has a distinctive sweet taste due to tape fermentation, and a soft texture."
65,Bagaimana pengalamanmu dengan Dadar Gulung?,Saya suka Dadar Gulung karena isian kelapa yang manis dan tekstur kulitnya yang kenyal.,,Piye pengalamanmu karo Dadar Gulung?,Aku seneng karo Dadar Gulung amarga isi klapa sing manis lan tekstur kulit sing kenyal.,,How was your experience with Dadar Gulung?,I like Dadar Gulung because of the sweet coconut filling and the chewy texture of the skin.
66,Bagaimana rasanya Klepon?,Klepon adalah kue manis dengan isian gula kelapa dan lapisan tepung ketan yang kenyal. Rasanya lezat dan manis.,,Piye rasane Klepon?,Klepon yaiku kue sing legi sing diisi gula klapa lan lapisan glepung ketan kenyal. Rasane enak lan legi.,,How does Klepon taste?,Klepon is a sweet cake filled with coconut sugar and a layer of chewy sticky rice flour. It tastes delicious and sweet.
67,Apakah kamu lebih suka Nastar atau Kue Talam?,Saya lebih suka Nastar. Nastar memiliki rasa manis yang unik dan tekstur yang renyah.,,Kowe luwih seneng Nastar utawa Kue Talam?,Aku luwih milih Nastar. Nastar nduweni rasa manis sing unik lan tekstur renyah.,,Do you prefer Nastar or Talam Cake?,I prefer Nastar. Nastar has a unique sweet taste and crunchy texture.
68,Bagaimana rasanya Kue Mendut?,Kue Mendut memiliki rasa manis dengan lapisan gula yang renyah. Rasanya sangat enak.,,Piye rasane Kue Mendut?,Kue Mendut nduweni rasa manis kanthi lapisan gula sing renyah. Rasane enak tenan.,,How does Mendut Cake taste?,Mendut cake has a sweet taste with crunchy sugar coating. It tastes really good.
69,Bagaimana pendapatmu tentang Bolu Meranti?,Saya suka Bolu Meranti karena rasanya yang manis dan teksturnya yang lembut. Bolu Meranti adalah camilan yang nikmat.,,Apa pendapat sampeyan babagan Bolu Meranti?,Aku seneng Bolu Meranti amarga rasane sing manis lan teksture sing lembut. Bolu Meranti minangka jajanan sing enak.,,What do you think about Bolu Meranti?,I like Bolu Meranti because of its sweet taste and soft texture. Bolu Meranti is a delicious snack.
70,Bagaimana rasanya Gethuk Lindri?,Gethuk Lindri memiliki rasa manis dan tekstur kenyal yang unik. Rasanya sangat lezat.,,Piye rasane Gethuk Lindri?,Gethuk Lindri nduweni rasa manis sing unik lan tekstur kenyal. Rasane enak banget.,,How does Gethuk Lindri taste?,Gethuk Lindri has a unique sweet taste and chewy texture. It tastes very delicious.
71,Bagaimana rasanya Kue Lumpur?,Kue Lumpur adalah kue manis dengan tekstur lembut yang biasanya memiliki lapisan gula. Rasanya sangat nikmat.,,Piye rasane Mud Cake?,Mud Cake yaiku kue sing legi kanthi tekstur alus sing biasane ana icing. Rasane enak banget.,,How does Mud Cake taste?,Mud Cake is a sweet cake with a soft texture that usually has icing. It feels very delicious.
72,Suka Kue Ape atau Kue Bolu Meranti?,"Saya lebih suka Kue Bolu Meranti karena rasanya manis dan teksturnya yang lembut. Kue Ape juga enak, terutama karena tekstur gurihnya.",,Kowe seneng Kue Kera utawa Meranti Bolu?,"Aku luwih seneng kue bolu Meranti amarga rasane manis lan teksture lembut. Kue Kera uga enak, utamane amarga teksture sing gurih.",,Do you like Ape Cake or Meranti Bolu Cake?,"I prefer Meranti Sponge Cake because it tastes sweet and has a soft texture. Ape Cake is also delicious, especially because of its savory texture."
73,Bagaimana rasanya Bolu Tape?,Bolu Tape memiliki rasa manis yang khas karena fermentasi tape dan tekstur lembut. Saya suka rasa uniknya.,,Kepiye rasa Bolu Tape?,Tape Bolu nduweni rasa manis sing khas amarga tape fermentasi lan tekstur sing lembut. Aku seneng rasa unik.,,How does Bolu Tape taste?,Bolu Tape has a distinctive sweet taste due to tape fermentation and a soft texture. I like the unique taste.
74,Apakah kamu suka Makanan Khas Malang?,Saya suka Makanan Khas Malang. Makanan Khas Malang memiliki beragam rasa dan tekstur yang memanjakan lidah. Setiap makanan memiliki keunikan tersendiri yang membuatnya istimewa.,,Kowe seneng jajanan khas Malang?,Aku seneng panganan khas Malang. Panganan khas Malang nduweni rasa lan tekstur sing maneka warna sing manjakan ilat. Saben panganan nduweni keunikan dhewe-dhewe sing ndadekake iku istimewa.,,Do you like Malang Typical Food?,I like Malang Typical Food. Typical Malang food has a variety of flavors and textures that pamper the tongue. Every food has its own uniqueness that makes it special.
75,Bagaimana pengalamanmu dengan Makanan Jalanan Malang?,Pengalaman saya dengan Makanan Jalanan Malang selalu menyenangkan. Saya suka berjalan-jalan di pasar malam dan mencicipi berbagai hidangan lezat yang ditawarkan.,,Apa pengalamanmu karo Malang Street Food?,Pengalamanku karo Malang Street Food tansah nyenengake. Aku seneng mlaku-mlaku ing pasar wengi lan nyoba macem-macem panganan sing enak sing ditawakake.,,What is your experience with Malang Street Food?,My experience with Malang Street Food is always enjoyable. I love strolling through the night markets and sampling the many delicious dishes on offer.
76,Apakah kamu sering makan Makanan Ringan Khas Malang?,Saya sering makan Makanan Ringan Khas Malang. Mereka adalah camilan yang sempurna untuk menemani waktu santai. Saya suka rasa gurih dan manisnya.,,Kowe kerep mangan jajanan khas Malang?,Aku kerep mangan jajanan khas Malang. Padha cemilan sampurna kanggo ngiringi wektu sayah. Aku seneng rasa gurih lan manis.,,Do you often eat typical Malang snacks?,I often eat typical Malang snacks. They are the perfect snack to accompany relaxing time. I like the savory and sweet taste.
77,Apakah kamu pernah mencoba Minuman Khas Malang?,Saya pernah mencoba minuman Khas Malang. Minuman tradisional seperti Es Cendol dan Es Doger adalah favorit saya. Rasanya segar dan cocok untuk cuaca panas.,,Wis tau nyoba Minuman Khas Malang?,Aku tau nyoba wedang Khas Malang. Minuman tradisional kayata Es Cendol lan Es Doger dadi favoritku. Rasane seger lan cocok kanggo cuaca panas.,,Have you ever tried Typical Malang Drinks?,I once tried the Typical Malang drink. Traditional drinks such as Es Cendol and Es Doger are my favorites. It tastes fresh and is suitable for hot weather.
78,Apakah kamu lebih suka Makanan Manis Malang atau Makanan Asin?,"Saya lebih suka Makanan Manis Malang. Makanan-makanan manis memiliki rasa yang khas dan memberikan sensasi kenikmatan tersendiri. Meskipun demikian, Makanan Asin juga enak.",,Kowe luwih seneng panganan Malang sing manis apa asin?,"Aku luwih seneng Manis Malang. Panganan manis duwe rasa sing khas lan menehi sensasi kenikmatan khusus. Nanging, panganan asin uga enak.",,Do you prefer sweet Malang food or salty food?,"I prefer Malang Sweets. Sweet foods have a distinctive taste and provide a special sensation of enjoyment. Nevertheless, Salty Food is also delicious."
79,Bagaimana rasanya Baso Tahu?,"Baso Tahu memiliki rasa gurih dan segar. Saya suka kombinasi antara baso, tahu, dan kuah kaldu yang lezat.",,Piye rasane bakso Tahu?,"Tahu Baso nduweni rasa gurih lan seger. Aku seneng kombinasi bakso, tahu lan duduh kaldu sing enak.",,How does Tofu Meatball taste?,"Tofu Baso has a savory and fresh taste. I love the combination of meatballs, tofu and delicious broth."
80,Sate Kelinci itu seperti apa?,Sate Kelinci adalah hidangan unik yang memiliki daging kelinci yang lembut dan bumbu kacang yang gurih. Rasanya sangat enak dan berbeda dari sate biasa.,,Apa Sate Kelinci?,Sate Kelinci minangka panganan unik sing nduweni daging terwelu sing empuk lan saus kacang sing gurih. Rasane enak banget lan beda karo sate biasa.,,What is Rabbit Satay like?,Rabbit Satay is a unique dish that has tender rabbit meat and savory peanut sauce. The taste is very delicious and different from ordinary satay.
81,Apa yang kamu suka dari Sate Usus?,Saya suka Sate Usus karena usus memiliki tekstur yang kenyal dan bumbu sate yang gurih. Ini adalah camilan yang nikmat dan sering menjadi favorit di sate ayam.,,Apa sing disenengi babagan Sate Usus?,Aku seneng Sate Usus amarga ususe teksture kenyal lan bumbu sate sing enak. Iki minangka cemilan sing enak lan asring dadi favorit ing sate ayam.,,What do you like about Intestinal Satay?,I like Sate Usus because the intestine has a chewy texture and delicious satay spices. This is a delicious snack and is often a favorite in chicken satay.
82,Apa yang membuat Pempek Palembang istimewa?,Pempek Palembang istimewa karena memiliki tekstur yang kenyal dan isian ikan yang gurih. Saus cuko yang digunakan memberikan rasa asam manis yang khas.,,Apa sing nggawe Pempek Palembang istimewa?,Pempek Palembang istimewa amarga teksture kenyal lan isi iwak sing enak. Saus cuko sing digunakake menehi rasa manis lan asem sing khas.,,What makes Pempek Palembang special?,Pempek Palembang is special because it has a chewy texture and delicious fish filling. The cuko sauce used gives a distinctive sweet and sour taste.
83,Bagaimana rasanya Ayam Penyet?,Ayam Penyet memiliki rasa pedas dan gurih yang khas. Ayamnya digoreng hingga renyah dan disajikan dengan sambal yang pedas. Saya suka sensasi pedasnya.,,Piye rasane Ayam Penyet?,Ayam Penyet nduweni rasa pedhes lan gurih sing khas. Ayam digoreng nganti garing lan disajikake karo sambal pedhes. Aku seneng sensasi pedhes.,,How does Ayam Penyet taste?,Ayam Penyet has a distinctive spicy and savory taste. The chicken is fried until crispy and served with spicy chili sauce. I like the spicy sensation.
84,Nasi Pecel Lele cocok dengan selera kamu?,"Nasi Pecel Lele cocok dengan selera saya. Saya suka nasi yang digoreng garing, dan lele yang digoreng renyah. Ditambah dengan sambal kacang yang gurih, membuatnya sangat nikmat.",,Nasi Lele Pecel cocok karo seleramu?,"Nasi Lele Pecel cocok karo seleraku. Aku seneng sega goreng, lan lele goreng crispy. Digabungake karo saus kacang sing gurih, dadi enak banget.",,Lele Pecel Rice suits your taste?,"Lele Pecel Rice suits my taste. I like crispy fried rice, and crispy fried catfish. Coupled with savory peanut sauce, it makes it very delicious."
85,Bagaimana rasanya Gorengan?,"Gorengan memiliki tekstur renyah dan rasanya gurih. Saya suka berbagai jenis gorengan, mulai dari pisang goreng hingga tahu goreng.",,Piye rasane panganan gorengan?,"Panganan sing digoreng nduweni tekstur sing renyah lan rasa sing enak. Aku seneng macem-macem gorengan, saka gedhang goreng nganti tahu goreng.",,How do fried foods taste?,"Fried foods have a crunchy texture and delicious taste. I like various types of fried foods, from fried bananas to fried tofu."
86,Suka Rujak Serut atau Rujak Cingur?,"Saya lebih suka Rujak Serut. Rujak Serut memiliki cita rasa yang segar dan bumbu kacang yang lezat. Rujak Cingur juga enak, terutama karena ada potongan daging cingur.",,Kowe seneng Rujak Cukur utawa Rujak Cingur?,"Aku luwih seneng Dicukur Rujak. Rujak Serut rasane seger lan sambel kacang sing enak. Rujak Cingur uga enak, utamane amarga ana potongan daging cingur.",,Do you like Shaved Rujak or Cingur Rujak?,"I prefer Shaved Rujak. Rujak Serut has a fresh taste and delicious peanut sauce. Rujak Cingur is also delicious, especially because there are pieces of cingur meat."
87,"Cilok atau Pentol, pilih yang mana?",Saya lebih suka Cilok. Cilok adalah camilan kenyal yang biasanya disajikan dengan saus kacang. Rasanya lezat dan cocok sebagai makanan ringan.,,"Cilok opo Pentol, kowe milih sing endi?",Aku luwih milih Cilok. Cilok minangka jajanan kenyal sing biasane disedhiyakake karo saos kacang. Rasane enak lan cocok kanggo cemilan.,,"Cilok or Pentol, which do you choose?",I prefer Cilok. Cilok is a chewy snack that is usually served with peanut sauce. It tastes delicious and is suitable as a snack.
88,Bagaimana rasanya Mie Ayam?,Mie Ayam memiliki rasa gurih dan daging ayam yang empuk. Saya suka mie yang digunakan dan kuah kaldu yang kaya rasa.,,Piye rasane Mie Ayam?,Mie ayam nduweni rasa gurih lan daging pitik empuk. Aku seneng mie sing digunakake lan duduh kaldu sing sugih.,,How does Chicken Noodles taste?,Chicken Noodles have a savory taste and tender chicken meat. I like the noodles used and the rich broth.
89,Bagaimana rasanya Kerak Telor?,Kerak Telor memiliki cita rasa yang unik. Rasanya gurih dan renyah dengan aroma yang menggugah selera. Saya suka tekstur dan rasa telurnya.,,Piye rasane Kerak Telur?,Kerak Telor nduweni rasa sing unik. Rasane enak lan renyah kanthi aroma sing nyenengake. Aku seneng tekstur lan rasa endhog.,,How does Egg Crust taste?,Kerak Telor has a unique taste. It tastes delicious and crunchy with an appetizing aroma. I love the texture and taste of the eggs.
90,Apakah kamu lebih suka Ayam Goreng Krispi atau Batagor?,"Saya lebih suka Ayam Goreng Krispi. Ayamnya digoreng hingga sangat renyah dan dipadukan dengan bumbu krispi yang gurih. Tapi Batagor juga enak, terutama karena kombinasi antara baso dan tahu.",,Kowe luwih seneng Crispy Fried Chicken utawa Batagor?,"Aku luwih seneng Ayam Goreng Crispy. Ayam digoreng nganti garing banget lan digabungake karo bumbu renyah sing enak. Nanging Batagor uga enak, utamane amarga kombinasi bakso lan tahu.",,Do you prefer Crispy Fried Chicken or Batagor?,"I prefer the Crispy Fried Chicken. The chicken is fried until very crispy and combined with delicious crispy spices. But Batagor is also delicious, especially because of the combination of meatballs and tofu."
91,Bagaimana rasanya Gado-Gado?,Gado-Gado adalah hidangan salad yang memiliki rasa gurih dan segar. Saya suka bumbu kacang yang khas dan berbagai sayuran yang digunakan.,,Piye rasane Gado-Gado?,Gado-Gado minangka sajian salad sing nduweni rasa gurih lan seger. Aku seneng saus kacang sing khas lan macem-macem sayuran sing digunakake.,,How does Gado-Gado taste?,Gado-Gado is a salad dish that has a savory and fresh taste. I love the distinctive peanut sauce and the variety of vegetables used.
92,Bagaimana rasanya Siomay?,Siomay adalah hidangan dim sum yang memiliki rasa gurih dan disajikan dengan saus kacang yang lezat. Saya suka tekstur kenyal dari kulit siomay dan isian dagingnya.,,Piye rasane Siomay?,Siomay minangka panganan dim sum sing rasane gurih lan disuguhake karo sambel kacang sing enak. Aku seneng tekstur kenyal saka kulit pangsit lan isi daging.,,How does Siomay taste?,Siomay is a dim sum dish that has a savory taste and is served with delicious peanut sauce. I like the chewy texture of the dumpling skin and meat filling.
93,Suka Pentol Bakso atau lebih suka Mie Ayam?,"Saya lebih suka Mie Ayam. Mie Ayam memiliki rasa gurih dan tekstur yang kenyal, terutama mie yang digunakan. Tapi Pentol Bakso juga enak, terutama saat dimakan dengan saus.",,Apa sampeyan seneng Pentol Bakso utawa luwih seneng Mie Ayam?,"Aku luwih seneng mie ayam. Mie ayam nduweni rasa gurih lan tekstur kenyal, utamane mie sing digunakake. Nanging Pentol Bakso uga enak, utamane yen dipangan karo saos.",,Do you like Pentol Bakso or prefer Chicken Noodles?,"I prefer Chicken Noodles. Chicken Noodles have a savory taste and chewy texture, especially the noodles used. But Pentol Bakso is also delicious, especially when eaten with sauce."
94,Apakah kamu suka makanan jalanan seperti Keripik Singkong?,Makanan jalanan seperti Keripik Singkong juga favorit saya. Mereka adalah camilan yang cocok saat sedang bepergian atau sekadar ngemil di rumah.,,Apa sampeyan seneng jajanan dalan kaya Kripik Singkong?,Panganan ing pinggir dalan kaya Kripik Singkong uga dadi favoritku. Iki minangka cemilan sing apik banget utawa mung cemilan ing omah.,,Do you like street food like Cassava Chips?,Street foods like Cassava Chips are also my favorite. They are a great on-the-go snack or just snacking at home.
